,meta_game_name,meta_platform,meta_publisher,meta_release_date,meta_critic_score,meta_user_score,meta_esrb,meta_genre,meta_multiplayer,meta_full_url
224,"
Prototype 2
","

                                                        PlayStation 3
                                                    
","

                                                        Activision
                                                    
","Apr 24, 2012",79,"
6.8
",M,Action Adventure,no,https://www.metacritic.com/game/playstation-3/prototype-2
225,"
James Cameron's Avatar: The Game
","

                                                        Xbox 360
                                                    
","

                                                        Ubisoft
                                                    
","Dec  1, 2009",61,"
6.8
",T,Action,yes,https://www.metacritic.com/game/xbox-360/james-camerons-avatar-the-game
226,"
Fortnite
","

                                                        Xbox One
                                                    
","

                                                        Epic Games
                                                    
					, 						
                                                        Gearbox Software
                                                    
					, 						
                                                        Gearbox Publishing
                                                    
","Jul 21, 2017",85,"
3.7
",T,Action,yes,https://www.metacritic.com/game/xbox-one/fortnite
227,"
Star Wars Episode II: Attack of the Clones
","
                                                        Game Boy Advance
                                    		    ","

                                                        THQ
                                                    
","May 30, 2002",38,"
3.4
",E,Action Adventure,no,https://www.metacritic.com/game/game-boy-advance/star-wars-episode-ii-attack-of-the-clones
228,"
Twisted Metal: Head-On
","
                                                        PSP
                                    		    ","

                                                        SCEA
                                                    
","Mar 24, 2005",79,"
8.2
",T,Simulation,yes,https://www.metacritic.com/game/psp/twisted-metal-head-on
229,"
LEGO Marvel Super Heroes
","

                                                        Wii U
                                                    
","

                                                        Warner Bros. Interactive Entertainment
                                                    
","Oct 22, 2013",82,"
8.0
",E10+,Action Adventure,no,https://www.metacritic.com/game/wii-u/lego-marvel-super-heroes
230,"
Resident Evil: Revelations
","

                                                        PlayStation 3
                                                    
","

                                                        Capcom
                                                    
","May 21, 2013",74,"
7.5
",M,Action Adventure,yes,https://www.metacritic.com/game/playstation-3/resident-evil-revelations
231,"
True Crime: New York City
","

                                                        PlayStation 2
                                                    
","

                                                        Activision
                                                    
","Nov 15, 2005",60,"
7.7
",M,Action Adventure,no,https://www.metacritic.com/game/playstation-2/true-crime-new-york-city
232,"
Quantum Break
","

                                                        Xbox One
                                                    
","

                                                        Microsoft Game Studios
                                                    
","Apr  5, 2016",77,"
7.2
",M,General,no,https://www.metacritic.com/game/xbox-one/quantum-break
233,"
Genji: Days of the Blade
","

                                                        PlayStation 3
                                                    
","

                                                        SCEA
                                                    
","Nov 14, 2006",55,"
6.1
",T,Action Adventure,no,https://www.metacritic.com/game/playstation-3/genji-days-of-the-blade
234,"
Shark Tale
","

                                                        PlayStation 2
                                                    
","

                                                        Activision
                                                    
","Sep 27, 2004",69,"
6.1
",E,Action,no,https://www.metacritic.com/game/playstation-2/shark-tale
235,"
The Lord of the Rings: Conquest
","

                                                        PlayStation 3
                                                    
","

                                                        Electronic Arts
                                                    
","Jan 13, 2009",54,"
7.1
",T,Action Adventure,yes,https://www.metacritic.com/game/playstation-3/the-lord-of-the-rings-conquest
236,"
Ace Combat: Assault Horizon
","

                                                        PlayStation 3
                                                    
","

                                                        Namco Bandai Games
                                                    
","Oct 11, 2011",77,"
6.8
",T,Action,yes,https://www.metacritic.com/game/playstation-3/ace-combat-assault-horizon
237,"
Disney Pirates of the Caribbean: At World's End
","

                                                        PlayStation 3
                                                    
","

                                                        Disney Interactive Studios
                                                    
","May 22, 2007",55,"
7.0
",T,Action Adventure,yes,https://www.metacritic.com/game/playstation-3/pirates-of-the-caribbean-at-worlds-end
238,"
Star Wars Episode III: Revenge of the Sith
","
                                                        Game Boy Advance
                                    		    ","

                                                        Ubisoft
                                                    
","May  4, 2005",73,"
8.0
",E10+,Action Adventure,yes,https://www.metacritic.com/game/game-boy-advance/star-wars-episode-iii-revenge-of-the-sith
239,"
Ultimate Spider-Man
","

                                                        PlayStation 2
                                                    
","

                                                        Activision
                                                    
","Sep 22, 2005",74,"
8.2
",T,Action,no,https://www.metacritic.com/game/playstation-2/ultimate-spider-man
240,"
Monster Hunter Generations Ultimate
","

                                                        Switch
                                                    
","

                                                        Capcom
                                                    
","Aug 28, 2018",80,"
8.6
",T,Role-Playing,yes,https://www.metacritic.com/game/switch/monster-hunter-generations-ultimate
241,"
LEGO Dimensions
","

                                                        Xbox One
                                                    
","

                                                        Warner Bros. Interactive Entertainment
                                                    
","Sep 27, 2015",80,"
7.1
",E10+,Action Adventure,no,https://www.metacritic.com/game/xbox-one/lego-dimensions
242,"
James Cameron's Avatar: The Game
","
                                                        Wii
                                    		    ","

                                                        Ubisoft
                                                    
","Dec  1, 2009",60,"
4.0
",T,Action,no,https://www.metacritic.com/game/wii/james-camerons-avatar-the-game
243,"
The Lord of the Rings: The Two Towers
","
                                                        Xbox
                                    		    ","

                                                        EA Games
                                                    
","Dec 30, 2002",79,"
8.2
",T,Action,no,https://www.metacritic.com/game/xbox/the-lord-of-the-rings-the-two-towers
244,"
Scooby-Doo 2: Monsters Unleashed
","
                                                        Game Boy Advance
                                    		    ","

                                                        THQ
                                                    
","Mar 16, 2004",46,"
tbd
",E,Action,no,https://www.metacritic.com/game/game-boy-advance/scooby-doo-2-monsters-unleashed
245,"
Power Rangers: Dino Thunder
","

                                                        PlayStation 2
                                                    
","

                                                        THQ
                                                    
","Sep 14, 2004",49,"
6.6
",E,Action Adventure,no,https://www.metacritic.com/game/playstation-2/power-rangers-dino-thunder
246,"
Dynasty Warriors 6
","

                                                        PlayStation 3
                                                    
","

                                                        Koei
                                                    
","Feb 19, 2008",59,"
7.1
",T,Action,no,https://www.metacritic.com/game/playstation-3/dynasty-warriors-6
247,"
Spider-Man 2
","
                                                        PSP
                                    		    ","

                                                        Activision
                                                    
","Mar 23, 2005",67,"
6.4
",T,Action Adventure,no,https://www.metacritic.com/game/psp/spider-man-2
248,"
Star Wars: Obi-Wan
","
                                                        Xbox
                                    		    ","

                                                        LucasArts
                                                    
","Dec 19, 2001",58,"
5.8
",T,Action Adventure,yes,https://www.metacritic.com/game/xbox/star-wars-obi-wan
249,"
F-14 Tomcat
","
                                                        Game Boy Advance
                                    		    ","

                                                        Majesco Games
                                                    
","Sep  2, 2001",67,"
8.0
",E,Action,yes,https://www.metacritic.com/game/game-boy-advance/f-14-tomcat
